Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:56tfg3H8mcJ8eIKuyCWamX,"1987","Liberté chérie","Calogero",2017-08-25,226386,59,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:21:45Z,"variété française,chanson,pop française,house française","Universal Music Division Barclay",0.625,0.858,2,-5.917,1,0.0285,0.0211,0,0.125,0.899,146.026,4
spotify:track:63eflEIBAF5VmO5AdVuZF7,"Tiago","Amigo","Kendji Girac",2018-08-31,178786,58,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:21:53Z,"pop française,variété française,chanson","Universal Music Division Island Def Jam",0.55,0.543,8,-7.933,0,0.108,0.751,0,0.0536,0.65,123.106,4
spotify:track:1wotjwaR0euot8LDXUHU91,"Allez leur dire","Sur le fil","Silvàn Areg",2019-08-23,174374,42,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:22:00Z,"variété française,pop française,chanson","Play Two",0.696,0.645,11,-8.188,0,0.327,0.376,0,0.252,0.9,119.886,4
spotify:track:5e1paVG2mX1A4aHQ8MazoM,"Folie arcadienne","Arcadian","Arcadian",2017-04-14,172666,53,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:22:09Z,"pop française,variété française,chanson","Universal Music Division Decca Records France",0.719,0.805,11,-4.688,0,0.0446,0.0322,0,0.0866,0.689,97.993,4
spotify:track:3C2799IoWJS4OJExNsjBeh,"J'aimerais trop (feat. SAP)","Carpe Diem","Keen' V,SAP",2010-09-27,226986,52,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:23:00Z,"pop française,variété française,chanson","Warner (France)",0.725,0.875,9,-5.05,1,0.106,0.0895,0.00000388,0.0546,0.812,130.034,4
spotify:track:64gCM9yZv2jpNflclKUnXu,"La tribu de Dana","Panique Celtique","Manau",1998,287240,66,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:23:14Z,"variété française,chanson","Universal Music Division Label Panthéon",0.666,0.781,8,-6.882,1,0.0593,0.111,0,0.108,0.367,93.532,4
spotify:track:7JGmpugbdiVWskY1S3EmTY,"Tomber la chemise","Essence Ordinaire","Zebda",1998-01-01,263800,57,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:23:18Z,"variété française,chanson","Universal Music Division Barclay",0.914,0.78,10,-5.459,0,0.0368,0.228,0.00000502,0.174,0.968,133.01,4
spotify:track:70uAATa6l9BHWfAMYFV28u,"Chante","La Megacompil Des Forbans","Les Forbans",1990-01-01,178400,44,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:23:24Z,"variété française","Universal Music Division Label Panthéon",0.547,0.884,2,-7.388,1,0.208,0.22,0.00000457,0.506,0.813,192.739,4
spotify:track:4hFPJKIKvgKpGlL3HvYecV,"Pas de boogie woogie","Sur La Route De Memphis","Eddy Mitchell",1976,221666,51,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:23:29Z,"variété française,chanson,pop française,house française","Universal Music Division Barclay",0.526,0.843,5,-8.294,0,0.0701,0.336,0.000104,0.36,0.727,87.913,4
spotify:track:6QSwxzWUeF0w4N7qRxonbb,"Au bout de mes rêves","Quand la musique est bonne","Jean-Jacques Goldman",1982-09-27,234986,59,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:23:36Z,"variété française,chanson,pop française,house française","Columbia",0.67,0.854,4,-6.479,1,0.0324,0.303,0,0.0969,0.918,127.016,4
